Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
0.984526, 743.604, 0.00132399, 0.011265, 31.58, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.89094, 743.743, 0.00523157, 0.0181947, 35.07, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
11.4311, 743.711, 0.0153704, 0.0255914, 38.47, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
19.9698, 743.918, 0.0268441, 0.0302868, 42.60, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
27.1057, 744.277, 0.0364188, 0.0337323, 47.73, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
38.5990, 744.288, 0.0518603, 0.0381709, 52.65, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
57.1299, 744.272, 0.0767594, 0.0449214, 57.45, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
75.7001, 744.193, 0.101721, 0.0518579, 62.12, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
94.1218, 744.264, 0.126463, 0.0595781, 66.72, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
113.585, 744.256, 0.152615, 0.0670462, 71.33, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
131.625, 744.180, 0.176873, 0.0748928, 75.97, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
150.762, 744.241, 0.202572, 0.0831134, 80.62, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
168.621, 744.338, 0.226538, 0.0919773, 85.25, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
187.825, 744.267, 0.252363, 0.102052, 89.85, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
206.387, 744.312, 0.277285, 0.110983, 94.52, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
225.036, 744.094, 0.302430, 0.120579, 99.13, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
261.110, 743.915, 0.350995, 0.137497, 103.02, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
297.999, 744.032, 0.400520, 0.155878, 106.88, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
334.802, 743.887, 0.450071, 0.174750, 110.77, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
373.293, 743.885, 0.501815, 0.196108, 114.75, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
410.647, 743.790, 0.552101, 0.216802, 117.90, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
447.603, 743.928, 0.601675, 0.237500, 121.03, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
484.324, 744.063, 0.650917, 0.261543, 124.33, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
520.555, 744.171, 0.699510, 0.285602, 127.52, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
558.840, 744.117, 0.751011, 0.313556, 130.83, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
595.950, 744.200, 0.800793, 0.344708, 134.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
632.751, 744.234, 0.850205, 0.381792, 137.22, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
670.161, 744.198, 0.900515, 0.433189, 140.48, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
706.148, 744.129, 0.948959, 0.517343, 143.68, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
740.214, 744.054, 0.994840, 0.828150, 149.53, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
706.256, 744.339, 0.948836, 0.612178, 155.42, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
672.447, 744.340, 0.903413, 0.516907, 158.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
633.625, 744.443, 0.851139, 0.462538, 161.28, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
596.368, 744.567, 0.800960, 0.427807, 163.95, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
522.619, 744.429, 0.702040, 0.372620, 167.17, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
448.295, 744.583, 0.602075, 0.324745, 170.40, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
373.205, 744.493, 0.501288, 0.279418, 173.48, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
298.804, 744.671, 0.401256, 0.232120, 176.70, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
224.829, 744.562, 0.301962, 0.189063, 180.63, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
150.367, 744.577, 0.201950, 0.144345, 184.03, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
76.1230, 744.520, 0.102244, 0.0960994, 187.98, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
37.7129, 744.539, 0.0506527, 0.0667851, 191.92, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
19.1703, 744.575, 0.0257467, 0.0489853, 195.80, 1.50, 10, 10, 0, 25.000, 3.00, 0.000
7.82623, 744.619, 0.0105104, 0.0349634, 200.42, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.95055, 744.530, 0.0053061, 0.026641, 205.08, 2.00, 10, 10, 0, 25.000, 3.00, 0.000